"id";"species";"test_date";"test_time";"test_order";"fin_clip";"video_box";"camera";"ISO";"Exposure";"observer";"sociality_barred_id";"sociality_black_id";"capture_date";"release_date";"location";"depth_feet";"home_tank";"tank_mate_id";"home_tank_combination";"SDL_cm";"remarks_home";"remarks_test";"trial";"Distance_moved_cm";"Velocity_cm.s";"In_zone_Frequency";"In_zone_cum_duration";"In_zone_latency";"Acceleration_min_cm.s2";"Acceleration_max_cm.s2";"vid_id";"Distance_per_body_length";"Velocity_body_length.s"
"BD22-121";"barred";"05.11.2022";"11:30:00";"OFT_ESC_SOC";"bottom";"L";"7607";1800;1;"MH";"BD22-109";"BD22-117";"03.11.2022";"07.11.2022";"Bastimentos_A2";"15";"H2";"BD22-122";"barred_barred";7,08;"";"";"Trial   102";4120,37;7,63004;1;540,052;0;-892,879;1032,21;"E:\test_videos\OFT\vids_cut\r_aligned\121_OFT.mov-cut.mov";581,973163841808;1,07768926553672
"BD22-122";"barred";"05.11.2022";"11:32:00";"OFT_ESC_SOC";"top";"R";"0A4F";1800;1;"MH";"BD22-115";"BD22-118";"03.11.2022";"07.11.2022";"Bastimentos_A2";"15";"H2";"BD22-121";"barred_barred";7,83;"";"jumped out of tank during chasing";"Trial    81";196,112;0,36316;1;540,049;0;-886,552;886,552;"E:\test_videos\OFT\vids_cut\l_algned\122_OFT.MP4-cut.mov";25,0462324393359;0,0463805874840358
"BD22-123";"black";"05.11.2022";"13:42:00";"OFT_ESC_SOC";"bottom";"L";"7607";1800;1;"MH";"BD22-109";"BD22-117";"03.11.2022";"07.11.2022";"Solarte_B";"10";"2";"BD22-124";"black_black";6,77;"";"";"Trial   103";9131;16,9088;1;540,049;0;-897,694;983,546;"E:\test_videos\OFT\vids_cut\r_aligned\123_OFT.mov-cut.mov";1348,74446085672;2,4976070901034
"BD22-124";"black";"05.11.2022";"13:44:00";"OFT_ESC_SOC";"top";"R";"0A4F";1800;1;"MH";"BD22-115";"BD22-118";"03.11.2022";"07.11.2022";"Solarte_B";"10";"2";"BD22-123";"black_black";6,9;"";"";"Trial    82";1442,13;2,67047;1;540,062;0;-899,106;915,411;"E:\test_videos\OFT\vids_cut\l_algned\124_OFT.MP4-cut.mov";209,004347826087;0,387024637681159
"BD22-125";"black";"05.11.2022";"15:23:00";"OFT_ESC_SOC";"bottom";"L";"7607";1800;1;"MH";"BD22-109";"BD22-117";"03.11.2022";"07.11.2022";"Solarte_B";"10";"3";"BD22-126";"black_black";6,71;"";"";"Trial   104";4941,84;9,15108;1;540,061;0;-915,196;1005,79;"E:\test_videos\OFT\vids_cut\r_aligned\125_OFT.mov-cut.mov";736,488822652757;1,36379731743666
"BD22-126";"black";"05.11.2022";"15:24:00";"OFT_ESC_SOC";"top";"R";"0A4F";1800;1;"MH";"BD22-115";"BD22-118";"03.11.2022";"07.11.2022";"Solarte_B";"10";"3";"BD22-125";"black_black";7,06;"";"";"Trial    83";636,096;1,17792;1;540,049;0;-890,173;898,809;"E:\test_videos\OFT\vids_cut\l_algned\126_OFT.MP4-cut.mov";90,0985835694051;0,166844192634561
"BD22-127";"black";"05.11.2022";"12:19:00";"OFT_ESC_SOC";"top";"L";"7607";1800;1;"MH";"BD22-109";"BD22-117";"03.11.2022";"10.11.2022";"Solarte_B";"10";"4";"BD22-128";"black_barred";7,26;"";"";"Trial   105";70,9597;0,131403;1;540,049;0;-716,768;716,768;"E:\test_videos\OFT\vids_cut\r_aligned\127_OFT.mov-cut.mov";9,77406336088154;0,0180995867768595
"BD22-128";"barred";"05.11.2022";"12:20:00";"OFT_ESC_SOC";"top";"R";"0A4F";1800;1;"MH";"BD22-115";"BD22-118";"03.11.2022";"10.11.2022";"Solarte_B";"10";"4";"BD22-127";"black_barred";7,66;"";"I forgot to take out the HOBO-logger";"Trial    84";240,266;0,444924;1;540,049;0;-892,106;892,106;"E:\test_videos\OFT\vids_cut\l_algned\128_OFT.MP4-cut.mov";31,366318537859;0,0580840731070496
"BD22-129";"black";"05.11.2022";"09:52:00";"OFT_ESC_SOC";"bottom";"L";"7607";1800;1;"MH";"BD22-109";"BD22-117";"03.11.2022";"10.11.2022";"Solarte_B";"10";"5";"BD22-130";"black_black";7,67;"";"";"Trial   106";931,534;1,72501;1;540,049;0;-887,733;943,127;"E:\test_videos\OFT\vids_cut\r_aligned\129_OFT.mov-cut.mov";121,451629726206;0,224903520208605
"BD22-130";"black";"05.11.2022";"09:54:00";"OFT_ESC_SOC";"top";"R";"0A4F";1800;1;"MH";"BD22-115";"BD22-118";"03.11.2022";"07.11.2022";"Solarte_B";"10";"5";"BD22-129";"black_black";7,13;"";"";"Trial    85";67,0991;0,124253;1;540,053;0;-596,595;596,595;"E:\test_videos\OFT\vids_cut\l_algned\130_OFT.MP4-cut.mov";9,41081346423563;0,0174267882187938
